,counts
2019-04-10 00:00:00,0.0
2019-04-10 00:30:00,0.0
2019-04-10 01:00:00,0.0
2019-04-10 01:30:00,0.0
2019-04-10 02:00:00,0.0
2019-04-10 02:30:00,0.0
2019-04-10 03:00:00,0.0
2019-04-10 03:30:00,0.0
2019-04-10 04:00:00,0.0
2019-04-10 04:30:00,0.0
2019-04-10 05:00:00,0.0
2019-04-10 05:30:00,0.0
2019-04-10 06:00:00,0.0
2019-04-10 06:30:00,0.0
2019-04-10 07:00:00,0.0
2019-04-10 07:30:00,0.0
2019-04-10 08:00:00,0.0
2019-04-10 08:30:00,0.0
2019-04-10 09:00:00,0.0
2019-04-10 09:30:00,0.0
2019-04-10 10:00:00,0.0
2019-04-10 10:30:00,0.0
2019-04-10 11:00:00,0.0
2019-04-10 11:30:00,0.0
2019-04-10 12:00:00,0.0
2019-04-10 12:30:00,0.0
2019-04-10 13:00:00,0.0
2019-04-10 13:30:00,0.0
2019-04-10 14:00:00,0.0
2019-04-10 14:30:00,0.0
2019-04-10 15:00:00,0.0
2019-04-10 15:30:00,0.0
2019-04-10 16:00:00,0.0
2019-04-10 16:30:00,0.0
2019-04-10 17:00:00,0.0
2019-04-10 17:30:00,0.0
2019-04-10 18:00:00,0.0
2019-04-10 18:30:00,0.0
2019-04-10 19:00:00,0.0
2019-04-10 19:30:00,0.0
2019-04-10 20:00:00,0.0
2019-04-10 20:30:00,0.0
2019-04-10 21:00:00,0.0
2019-04-10 21:30:00,0.0
2019-04-10 22:00:00,0.0
2019-04-10 22:30:00,0.0
2019-04-10 23:00:00,0.0
2019-04-10 23:30:00,0.0
2019-04-11 00:00:00,0.0
2019-04-11 00:30:00,0.0
2019-04-11 01:00:00,0.0
2019-04-11 01:30:00,0.0
2019-04-11 02:00:00,0.0
2019-04-11 02:30:00,0.0
2019-04-11 03:00:00,0.0
2019-04-11 03:30:00,0.0
2019-04-11 04:00:00,0.0
2019-04-11 04:30:00,0.0
2019-04-11 05:00:00,0.0
2019-04-11 05:30:00,0.0
2019-04-11 06:00:00,0.0
2019-04-11 06:30:00,0.0
2019-04-11 07:00:00,0.0
2019-04-11 07:30:00,0.0
2019-04-11 08:00:00,15.5
2019-04-11 08:30:00,18.4
2019-04-11 09:00:00,24.2
2019-04-11 09:30:00,26.6
2019-04-11 10:00:00,26.6
2019-04-11 10:30:00,23.8
2019-04-11 11:00:00,26.3
2019-04-11 11:30:00,21.5
2019-04-11 12:00:00,23.9
2019-04-11 12:30:00,17.3
2019-04-11 13:00:00,19.1
2019-04-11 13:30:00,15.3
2019-04-11 14:00:00,11.0
2019-04-11 14:30:00,11.5
2019-04-11 15:00:00,10.7
2019-04-11 15:30:00,8.4
2019-04-11 16:00:00,7.5
2019-04-11 16:30:00,4.9
2019-04-11 17:00:00,4.2
2019-04-11 17:30:00,4.6
2019-04-11 18:00:00,3.4
2019-04-11 18:30:00,0.9
2019-04-11 19:00:00,0.9
2019-04-11 19:30:00,1.0
